year,statefp,countyfp,state,county,final_award_amount,total_co_staff,total_co_salary,total_bed_count,total_all_inmate_days,total_illegal_inmate_days,total_unknown_inmate_days,total_inmate_records,unique_inmate_records,ice_unknown_inmates,ice_eligible_inmates,ice_ineligible_inmates,type
2010,,,AK,Alaska Department of Corrections,116873.0,792.0,72270793.0,1356340.0,1290018.0,,,185.0,141.0,65.0,22.0,54.0,state
2010,,,AL,Alabama Department of Corrections,135708.0,2945.59,118042278.16,26351.0,9255182.0,,,218.0,218.0,173.0,33.0,12.0,state
2010,,,AL,County of Coffee,11275.0,24.87,732801.0700000001,146.0,53133.0,,,31.0,31.0,25.0,5.0,1.0,county
2010,,,AL,County of DeKalb,19134.0,40.64,1114542.98,269.0,72596.0,,,47.0,46.0,42.0,2.0,2.0,county
2010,,,AL,County of Montgomery,15714.0,142.08,5558018.36,630.0,229854.0,,,22.0,21.0,15.0,4.0,2.0,county
2010,,,AL,Marshall County Commission,2823.0,28.0,591367.0,197.0,85380.0,,,16.0,14.0,13.0,1.0,0.0,county
2010,,,AR,Arkansas Department of Correction,421249.0,3550.0,127689487.0,13867.0,4770010.0,,,363.0,360.0,251.0,71.0,38.0,state
2010,,,AR,County of Benton,68927.0,90.48,3107138.27,505.0,176351.0,,,279.0,226.0,153.0,41.0,32.0,county
2010,,,AR,County of Hempstead,2271.0,25.16,569372.53,100.0,32515.0,,,14.0,14.0,13.0,0.0,1.0,county
2010,,,AR,County of Pope,8263.0,45.62,1145133.85,177.0,64460.0,,,49.0,49.0,36.0,6.0,7.0,county
2010,,,AR,County of Pulaski,24192.0,220.0,7107130.0,979.0,357335.0,,,155.0,75.0,65.0,2.0,8.0,county
2010,,,AR,County of Sebastian,24779.0,50.9,1395519.77,394.0,143710.0,,,345.0,342.0,221.0,65.0,56.0,county
2010,,,AR,County of Washington,178674.0,171.0,5785982.05,710.0,184355.0,,,413.0,413.0,216.0,143.0,54.0,county
